time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
1,50.9,111.8,73.9,1.644,136.8,0.748,219.5
2,50.8,111.4,73.8,1.62157396,136.1,0.748,216.9
3,50.7,111.3,72.6,1.536399048,136,0.749,215.6
4,50.7,111.3,72.3,1.569224948,135.6,0.748,216.5
5,50.8,111.5,73.2,1.644051686,136,0.747,217.8
6,50.9,111.7,73.8,1.56127929,136.4,0.748,218.5
7,50.9,111.8,74,1.570907787,137.4,0.748,219.8
8,51,112,74.2,1.721337207,137.6,0.748,221
9,51,112,74.1,1.628967578,137.7,0.748,221
10,51,112.1,74.3,1.632998932,137.8,0.749,220.6
11,51,112.2,74.4,1.5486313,138,0.748,220.6
12,51.02697699,112.2,74.5,1.558264715,138.5,0.748,221.4
13,51.02786598,112,74.5,1.605099212,138.4,0.746,221.9
14,51.02878423,112,73,1.615934823,137.7,0.744,221.4
15,51.02973268,112,73.8,1.562771587,138.1,0.743,221.1
16,51.03071235,111.9,74.1,1.557609538,138,0.742,221.7
17,51.03172424,111.8,74.3,1.618448717,137.4,0.741,222.2
18,51.03276942,111.7,74.4,1.626089163,136.9,0.741,221.1
19,50.93384898,111.5,74.4,1.551730915,136.1,0.741,220.2
20,51.03496404,111.5,74.4,1.547374017,135.8,0.742,221.5
21,51.03611577,111.7611972,74.6,1.710618511,136,0.743,225
22,51.13730537,111.9632445,74.9,1.655064443,136.4,0.746,226.7
23,51.23853409,112.1653602,75,1.637111859,136.8,0.747,226.8
24,51.23980319,112.1675465,75,1.625560806,137.5,0.742,226.8
25,51.24111401,112.2698059,75.1,1.528011333,138.8,0.736,226.8
26,51.2424679,112.3721407,75.1,1.539263492,139.4,0.732,227.8
27,51.14386629,112.3745534,75.1,1.661717335,139.5,0.733,228.4242302
28,51.24531062,112.5770468,75.1,1.614172915,139.1,0.737,228.0284287
29,51.34680239,112.8796233,75.4,1.557430289,139.3,0.74,231.2327688
30,51.44834317,112.9822859,75.7,1.539489514,139.9,0.738,236.1372554
