time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
1,47.8,114.9,57.6,1.686,148,0.705,171.9
2,47.8,114.6,57.6,1.6852,146.9,0.71,171.8
3,47.7,114.9,57.6,1.6724,146.8,0.714,171.9
4,47.8,115.3,57.6,1.6572,147.4,0.717,172.2
5,47.8,115.2,57.7,1.636,148.1,0.718,172.3
6,47.7,115,57.7,1.6144,148,0.72,172.2
7,47.7,115.1,57.7,1.6108,147.7,0.721,172.3
8,47.7,115.2,57.7,1.648,147.6,0.722,172.3
9,47.6,114.8,57.6,1.6692,147.1,0.723,172.2
10,47.6,114.2,57.6,1.6612,145.9,0.724,172
11,47.4,113.6,57.5,1.6464,145,0.726,171.9
12,47.4,113.2,57.5,1.6144,144.2,0.726,171.9
13,47.3,113.1,57.5,1.5984,144,0.728,172
14,47.3,113.3,57.5,1.6032,144.3,0.726,172.1
15,47.3,113.2,57.62900929,1.6244,144.6,0.724,172
16,47.2,113.1,57.62997858,1.6448,144.1,0.723,171.8
17,47.2,113,57.53098021,1.6496,143.9,0.724,171.6
18,47.2,112.9,57.63201527,1.656,143.9,0.725371803,171.6
19,47.2,112.8,57.63308486,1.6484,144.3,0.727384289,171.6
20,47.2,112.9,57.63419013,1.6372,144.9,0.727397193,171.7
21,47.2,113,57.63533226,1.6296,145.6,0.72741053,171.7
22,47.2,113.1,57.53651249,1.6292,146.2,0.726424315,171.6
23,47.2,113.2,57.53773208,1.6332,146.7,0.727438561,171.7
24,47.2,113.3,57.53899233,1.6748,147,0.726453285,171.7
25,47.2,113.3,57.54029461,1.6696,146.9,0.724468503,171.6902024
26,47.2,113.3,57.5416403,1.676,147,0.72348423,171.4932675
27,47.2,113.3,57.44303085,1.6704,147,0.725500485,171.4964367
28,47.2,113.3,57.54446774,1.6156,147.1,0.730517284,171.5997134
29,47.2,113.3,57.54595252,1.624,147.3,0.731534646,171.9031012
30,47.2,112.8,57.44748678,1.6176,147.1,0.72955259,171.906604
