time,corrective_profit,preventive_profit,local_profit,fed_profit
0,3.21676989,2.757007938,2.890755956,2.851992017
1,6.246894573,5.820732576,5.75873818,5.970113407
2,9.443955489,8.781474492,8.918991681,8.85419265
3,12.62301785,11.9216782,11.99453208,11.91904051
4,15.49097788,15.01829445,14.73299218,14.67380088
5,18.50238593,18.04301731,17.7887614,17.37482921
6,21.53779375,21.10554302,20.85315768,20.5213355
7,24.73103791,24.23002893,23.77900726,23.80869254
8,27.82471312,27.06757561,26.80598423,26.83987196
9,30.74760954,30.16157889,30.01162533,29.77118454
10,33.73901798,33.04338634,32.99352927,32.60922397
11,36.77294654,35.93636908,36.24278946,35.57720239
12,39.92499305,39.11861794,39.2514776,38.58335412
13,42.76824806,42.10534892,42.46069076,41.5701248
14,46.01865513,44.91714401,45.69494912,44.48901292
15,49.17243958,47.82595778,48.77553253,47.8167859
16,52.03677504,50.80166717,51.82127293,50.60266389
17,54.95387845,53.92756074,54.91391989,53.90848691
18,58.14519871,56.93294075,57.71343589,56.85650131
19,61.21939237,59.95730445,60.67501778,60.03925081
20,64.0560144,62.94367239,63.91385269,62.89389421
21,67.00942987,65.79083975,67.00058053,65.91934813
22,69.91222241,68.75002258,70.11000435,68.96820229
23,73.09945482,71.78002272,73.35228405,71.94323716
24,76.21567057,74.71807096,76.45131444,74.62711294
25,79.21708025,77.8155761,79.40082026,77.52365766
26,82.21090945,80.87919464,82.43369239,80.58101612
27,85.15045744,83.81941536,85.21746336,83.66295527
28,88.32685444,86.72302524,88.10144634,86.68661367
29,91.45125805,89.79015473,90.93227035,89.73304592
30,94.677657,92.58919725,93.96177992,92.95610025
31,97.66386974,95.55251621,96.89630307,95.90847261
32,100.4993727,98.53373407,99.8385884,98.97069261
33,103.6549791,101.4598089,102.7880997,101.7401242
34,106.4826295,104.563627,105.4943836,104.8594467
35,109.3997249,107.8184298,108.3256724,107.8984568
36,112.5757722,110.8084956,111.4468567,110.8307353
37,115.5304687,113.7852162,114.3614213,113.8488726
38,118.7539505,116.692235,117.5527473,116.8547876
39,121.6440502,119.762204,120.2848285,119.9543695
40,124.7134822,122.8105857,123.3977238,122.8928777
41,127.5244271,125.8405485,126.5284056,125.8981468
42,130.6845707,128.6410973,129.7729947,128.5230581
43,133.9924903,131.575055,132.7651145,131.6173219
44,137.1316019,134.6414872,135.8478088,134.8988376
45,140.3380249,137.6006475,139.0485257,137.9152004
46,143.3300053,140.54844,141.945467,141.1761818
47,146.0917944,143.4121833,144.8222243,144.4904661
48,149.0472177,146.300815,147.6470056,147.1073281
49,152.1145797,149.2712906,150.7187616,150.1132622
50,155.306493,151.9959742,153.8947384,152.9883098
51,158.240722,155.1780223,156.872184,155.9984019
52,161.0832582,158.1961675,159.8330553,158.9367362
53,164.1323744,161.2683757,162.8146944,161.9211741
54,167.0998086,164.118501,165.7590532,165.0159007
55,170.2200198,166.8960575,168.8127454,168.1502584
56,172.8937976,170.0707419,171.7650633,171.2613425
57,175.7242268,173.048523,174.729499,174.3079211
58,178.6387598,176.1709275,177.6985905,177.5217501
59,181.4909415,179.380932,180.6485907,180.3524798
60,184.5526704,182.3246581,183.808016,183.5108817
61,187.5684922,185.3155404,187.1112992,186.4017267
62,190.8225527,188.1794614,189.9850684,189.427811
63,193.7895145,191.0886946,193.3216886,192.3663262
64,196.8894312,193.927757,196.3721196,195.2328939
65,200.1200238,196.6916883,199.5599846,198.5301868
66,203.1099071,199.8231568,202.6606782,201.468865
67,206.339597,203.1628556,205.8787481,204.3287901
68,209.4536175,206.2359983,208.7497785,207.4551593
69,212.6194672,209.4078091,211.7335569,210.654086
70,215.6000192,212.3655521,214.6973158,213.5290887
71,218.6286403,215.5040752,218.0166028,216.6058986
72,221.6847208,218.5512464,221.2794672,219.5567044
73,224.7301333,221.3671964,224.4893373,222.4951927
74,227.8355322,224.5111701,227.6391293,225.5002728
75,230.7212988,227.6084265,230.5066605,228.2595816
76,233.759207,230.7359162,233.5687342,231.3148806
77,236.8526485,233.9033621,236.5884105,234.516941
78,239.6173749,236.9323107,239.8538548,237.4053003
79,242.5220613,239.8868835,243.0550012,240.5580137
80,245.4496651,243.2560494,245.7187751,243.3726993
81,248.5967318,246.5141114,248.5339969,246.4494972
82,251.2820227,249.3582491,251.803795,249.3558308
83,254.328637,252.4834557,254.7194795,252.3814844
84,257.4059721,255.6805867,257.506623,255.6819534
85,260.5966377,258.7802387,260.4634732,258.6189185
86,263.6230662,261.821008,263.6086516,261.4884376
87,266.7202091,264.8885468,266.8960997,264.5808341
88,269.8268632,268.0384982,269.6566482,267.3659527
89,272.7523916,271.4918612,272.7888153,270.3669903
90,275.4497128,274.4897356,275.9228837,273.2530284
91,278.1875997,277.6638249,278.8286006,276.5232988
92,281.2345997,280.9118877,281.9971227,279.5011594
93,284.2535374,284.1382007,284.9160803,282.522569
94,287.0720623,287.070683,287.6871171,285.5357374
95,289.9939284,290.0812222,290.41323,288.6104097
96,293.2799087,293.0693403,293.3117644,291.6210092
97,296.0921202,296.0183849,296.1822635,294.9270747
98,299.2762164,299.1988707,299.1949786,297.9269843
99,302.3472577,302.2276996,302.353449,301.0618182
100,305.7033584,305.3331391,305.4244819,304.2815521
101,308.5717086,308.5728265,308.3644382,307.6594637
102,311.6143846,311.4464982,311.3219013,310.2584
103,314.6806101,314.6013394,314.4280416,313.1487709
104,317.9278393,317.6861162,317.4339467,315.9053085
105,320.85013,320.7474277,320.2223868,319.1203473
106,323.6158955,323.44629,323.0968285,322.1987152
107,326.6428451,326.189562,326.1329754,324.9490435
108,329.6853738,329.5253726,329.1041354,328.1126909
109,332.8020999,332.5273226,331.961427,331.0503355
110,336.0173232,335.6139105,334.7636121,333.8783113
111,338.869161,338.7027588,338.1958247,337.1233519
112,342.0550616,341.6988374,341.0499059,340.2131331
113,345.182131,344.7092846,344.1754563,343.002922
114,348.0153938,347.7282827,346.9707219,345.8707325
115,351.1231476,350.7066553,349.8632945,349.0290732
116,354.0618324,353.9015942,352.9507616,351.9989287
117,356.9301067,357.1431235,355.9368492,355.2152161
118,359.8525931,360.1948626,358.8520173,358.3311772
119,362.8125279,362.9616324,361.7377889,361.2307831
120,365.8875384,366.1048603,364.9982034,364.3471805
121,368.764011,368.7595293,367.9614058,367.4819171
122,371.6393048,371.5833249,371.0574187,370.4122447
123,374.2891577,374.5954067,374.0745404,373.4793832
124,377.1278219,377.807307,377.2054917,376.1105389
125,380.2641251,380.801077,380.398685,379.2738143
126,383.2690602,384.1100305,383.3775916,382.4113101
127,386.2771879,387.0826231,386.5658528,385.4945338
128,389.506673,390.0616427,389.4049032,388.3798707
129,392.4943916,392.95368,392.6216968,391.5271032
130,395.4380088,396.0757548,395.5372864,394.3502231
131,398.4557786,398.9553168,398.4157885,397.4143048
132,401.504435,402.1340814,401.7166527,400.3758846
133,404.5605212,404.9655016,404.6998811,403.2847848
134,407.8118418,407.9126627,407.7325003,406.354083
135,411.1320564,410.8500312,410.596545,409.2637425
136,413.9675222,413.8488486,413.5800822,411.9946294
137,416.8233821,417.0956749,416.6464948,415.1543066
138,419.9399209,420.2655595,419.6564848,417.917923
139,422.6440109,423.0645425,422.5028545,420.8660541
140,425.6742382,426.0168861,425.3948898,423.9506717
141,428.8116838,429.0225592,428.3588332,426.891351
142,431.9131911,432.12259,431.3727007,430.0763921
143,435.3177702,435.029041,434.4131855,432.6928407
144,438.3497851,438.1898671,437.5429335,435.7933736
145,441.530476,441.2605543,440.6107252,438.6791121
146,444.8570818,444.2849638,443.6559875,441.9019848
147,447.8606217,447.5608643,446.8495399,444.8353863
148,451.0308958,450.5602286,449.9090533,448.094435
149,454.0634495,453.5773756,452.9679042,451.0690481
150,456.9020207,456.7304061,455.9680407,454.0387647
151,459.6220441,459.8068736,459.0719018,456.9257721
152,462.9932599,462.9487002,462.3528558,460.0543887
153,466.1972857,466.0243162,465.3755888,463.0391107
154,469.0347975,469.1443554,468.5665836,465.9645731
155,472.0859741,472.423165,471.5305895,468.8079826
156,475.0457894,475.4797614,474.4985129,471.9598461
157,478.011518,478.514451,477.732119,475.1312394
158,481.1633922,481.6591406,480.7016985,478.1555384
159,484.1410157,484.7759691,483.7295893,481.1177928
160,487.4738395,487.9667963,486.8393482,484.1406988
161,490.4859187,491.1106932,489.9308545,487.2210202
162,493.6855346,494.1379598,493.0493702,490.2422303
163,496.477712,497.0542327,496.3096148,493.5355943
164,499.7960939,500.0449432,499.6398067,496.6178548
165,502.8133209,503.0951011,502.5068145,499.5348839
166,505.8195083,505.8890054,505.3859934,502.5393381
167,508.7059489,508.7922927,508.3372796,505.4138395
