time,corrective_fix,preventive_fix,local_fix,fed_fix,corrective_profit,preventive_profit,local_profit,fed_profit
0,0,0,0,0,0.717097024,0.668349479,0.652070959,0.690910088
1,0,0,0,0,1.518567677,1.453535873,1.400695801,1.403864082
2,0,0,0,0,2.165473899,2.254494805,2.246205804,2.087083045
3,0,0,0,0,2.970956397,3.094150904,2.928391324,2.728615062
4,0,0,0,0,3.615617248,3.750869246,3.56181103,3.424937499
5,0,0,0,0,4.257104875,4.416006025,4.340721061,4.086663568
6,0,0,0,0,4.909229722,5.073944129,5.187954869,4.963668988
7,0,0,0,0,5.753406339,5.730795321,6.005238687,5.798857592
8,0,0,0,0,6.569872834,6.487309068,6.80725891,6.633445883
9,0,0,0,0,7.314813796,7.33709734,7.679830675,7.344005158
10,0,0,0,0,7.98687658,8.043488429,8.387523293,7.994899354
11,0,0,0,0,8.860911017,8.716860842,9.206339546,8.818487267
12,0,0,0,0,9.61509109,9.578362968,9.902285318,9.68652772
13,0,0,0,0,10.2934372,10.26038009,10.77265376,10.48199724
14,0,0,0,0,11.0668038,10.98166992,11.65401686,11.2446953
15,0,0,0,0,11.73399355,11.69015324,12.42984859,11.97975023
16,0,0,0,0,12.44375619,12.43648009,13.17647344,12.67196427
17,0,0,0,0,13.2091989,13.14137245,14.03429575,13.52587141
18,0,0,0,0,13.93509192,13.89243611,14.67302246,14.23575191
19,0,0,0,0,14.6809344,14.73072097,15.48442711,15.05375058
20,0,0,0,0,15.42075583,15.5573125,16.21918607,15.72269711
21,0,0,0,0,16.09449765,16.36201593,17.03812543,16.40958078
22,0,0,0,0,16.88502702,17.21090215,17.73570764,17.15025486
23,0,0,0,0,17.58688676,18.03100121,18.52320045,18.02534266
24,0,0,0,0,18.42274751,18.73542517,19.36771017,18.65856804
25,0,0,0,0,19.22187982,19.41539095,20.04714614,19.43927003
26,0,0,0,0,19.87118727,20.19807958,20.72296829,20.27171601
27,0,0,0,0,20.68678489,21.04569164,21.36789559,21.00390194
28,0,0,0,0,21.48241953,21.78225144,22.00894272,21.72761581
29,0,0,0,0,22.1954353,22.46252478,22.75786533,22.58042854
30,0,0,0,0,22.93931703,23.12836948,23.54477788,23.3828903
31,0,0,0,0,23.64787871,23.89553399,24.22653753,24.04247289
32,0,0,0,0,24.35255841,24.58012225,25.09710797,24.87715696
33,0,0,0,0,25.06408599,25.45876446,25.96669066,25.55803823
34,0,0,0,0,25.77793895,26.17614543,26.64148079,26.39301703
35,0,0,0,0,26.49943393,27.02808204,27.35252149,27.14837426
36,0,0,0,0,27.31221085,27.74826113,28.09532459,27.92974949
37,0,0,0,0,28.01772899,28.4987422,28.84400275,28.75097388
38,0,0,0,0,28.89957062,29.26604209,29.71765331,29.38376246
39,0,0,0,0,29.5692479,30.08164168,30.48739602,30.23868296
40,0,0,0,0,30.26969545,30.86058006,31.29602559,31.05561269
41,0,0,0,0,30.97661394,31.6048504,32.06600195,31.89968521
42,0,0,0,0,31.85498895,32.3493236,32.92465983,32.53621976
43,0,0,0,0,32.69196982,33.1538657,33.59515197,33.39607159
44,0,0,0,0,33.54636581,33.90828653,34.38621358,34.21779949
45,0,0,0,0,34.234305,34.56330892,35.23314426,35.07022967
46,0,0,0,0,35.08625837,35.23005935,36.06277165,35.91853696
47,0,0,0,0,35.80994297,35.93327457,36.72007503,36.66510613
48,0,0,0,0,36.45170718,36.7246651,37.54708418,37.34236262
49,0,0,0,0,37.29124934,37.40219769,38.3314774,38.0692223
50,0,0,0,0,38.17015229,38.06457279,39.10985147,38.73201081
51,0,0,0,0,38.97872321,38.91048038,39.81230296,39.45156252
52,0,0,0,0,39.75202307,39.76001412,40.59917303,40.16098149
53,0,0,0,0,40.5221151,40.57986177,41.42386235,40.8455348
54,0,0,0,0,41.17057676,41.23785746,42.07037525,41.48312182
55,0,0,0,0,41.8646548,41.87079522,42.84539259,42.30177073
56,0,0,0,0,42.57498878,42.75232865,43.48108596,43.17175821
57,0,0,0,0,43.32451894,43.44688686,44.12787101,43.87086863
58,0,0,0,0,44.05936572,44.13455053,44.97096215,44.63819293
59,0,0,0,0,44.81443936,44.82271212,45.69781051,45.27629805
60,0,0,0,0,45.62454085,45.46309557,46.54401112,45.92363119
61,0,0,0,0,46.37935187,46.25869671,47.31372599,46.77339559
62,0,0,0,0,47.24018178,46.89773464,47.96265707,47.48995913
63,0,0,0,0,47.97299109,47.55346336,48.81306441,48.36577267
64,0,0,0,0,48.79927134,48.20150787,49.45305173,49.11342826
65,0,0,0,0,49.53046067,48.87289336,50.22953539,49.97103534
66,0,0,0,0,50.4072235,49.65339032,50.90124572,50.68399296
67,0,0,0,0,51.12466796,50.4461519,51.62112879,51.42977948
68,0,0,0,0,51.86694486,51.24258931,52.45352341,52.18144461
69,0,0,0,0,52.65547493,52.0425528,53.31819617,53.00707277
70,0,0,0,0,53.42266569,52.72605262,54.01486009,53.69409285
71,0,0,0,0,54.1173041,53.57317093,54.89538537,54.48625274
72,0,0,0,0,54.9661506,54.2183563,55.76449594,55.23952228
73,0,0,0,0,55.71267424,55.00023404,56.63310238,55.87639061
74,0,0,0,0,56.49580568,55.83134792,57.33466613,56.66154279
75,0,0,0,0,57.19853078,56.53429102,57.98167274,57.3897286
76,0,0,0,0,57.99452549,57.24177561,58.85442984,58.06616775
77,0,0,0,0,58.85431074,58.05242185,59.56343064,58.81462256
78,0,0,0,0,59.58384209,58.87708818,60.37016305,59.47000917
79,0,0,0,0,60.33002588,59.70253339,61.16092209,60.27954814
80,0,0,0,0,60.97126843,60.54145981,61.79164454,60.970548
81,0,0,0,0,61.78336737,61.23804802,62.49625041,61.70927203
82,0,0,0,0,62.4823219,61.87675394,63.34134782,62.57443007
83,0,0,0,0,63.2910897,62.75591649,64.15652474,63.34439263
84,0,0,0,0,64.08791756,63.5498785,64.78863729,64.22553095
85,0,0,0,0,64.93167823,64.18964237,65.56787891,65.03990413
86,0,0,0,0,65.62458727,64.8391298,66.39949817,65.69837341
87,0,0,0,0,66.48117929,65.49057725,67.27799437,66.57858921
88,0,0,0,0,67.11549864,66.34499117,67.91234995,67.26206497
89,0,0,0,0,67.80800506,67.2181252,68.64810846,67.9929201
90,0,0,0,0,68.4549981,67.99965517,69.52165933,68.71190197
91,0,0,0,0,69.28253557,68.79263352,70.39843335,69.5651004
92,0,0,0,0,70.05878128,69.44066921,71.11847589,70.28716376
93,0,0,0,0,70.79212556,70.07775546,71.82109157,71.10300802
94,0,0,0,0,71.58399021,70.88085489,72.56684926,71.79198037
95,0,0,0,0,72.24120246,71.5670603,73.23979204,72.46483557
96,0,0,0,0,73.029792,72.22134627,74.07058114,73.32603149
97,0,0,0,0,73.85496268,72.94845983,74.74535829,74.18687205
98,0,0,0,0,74.61118051,73.76541854,75.51112547,74.90436958
99,0,0,0,0,75.29923802,74.47047873,76.16776749,75.72310138
100,0,0,0,0,76.09417751,75.31402136,76.9919625,76.52544053
101,0,0,0,0,76.94955145,76.15483243,77.6903804,77.38145262
102,0,0,0,0,77.68269885,76.84604283,78.39574037,78.03562777
103,0,0,0,0,78.56055098,77.56797905,79.13411607,78.81274973
104,0,0,0,0,79.23090319,78.28428782,79.76748292,79.48156701
105,0,0,0,0,79.92199582,78.93328965,80.40311363,80.26723643
106,0,0,0,0,80.55231898,79.61028448,81.10619832,81.06730012
107,0,0,0,0,81.22183997,80.25557742,81.95791725,81.71671385
108,0,0,0,0,82.04137568,81.08519827,82.60990805,82.54089806
109,0,0,0,0,82.8003704,81.85873706,83.45420786,83.27511326
110,0,0,0,0,83.6799206,82.65260895,84.17380687,83.96575738
111,0,0,0,0,84.31408557,83.31736595,85.02692925,84.7847012
112,0,0,0,0,85.12902283,84.0984232,85.85714115,85.47342889
113,0,0,0,0,85.96227665,84.87580591,86.53059885,86.16115503
114,0,0,0,0,86.76411661,85.6420531,87.21252723,86.83497502
115,0,0,0,0,87.53698283,86.44899646,87.95202163,87.50927138
116,0,0,0,0,88.30416523,87.27147875,88.65481444,88.30325954
117,0,0,0,0,88.96401749,88.14776481,89.42794026,89.08938667
118,0,0,0,0,89.64165886,88.78642426,90.28579186,89.9633691
119,0,0,0,0,90.30489902,89.42546183,91.04290925,90.6560525
120,0,0,0,0,90.93771345,90.24280359,91.83507462,91.4070911
121,0,0,0,0,91.58173118,90.89149678,92.48697082,92.23694096
122,0,0,0,0,92.26414288,91.60346831,93.23545327,92.90220339
123,0,0,0,0,92.91487908,92.39966815,93.96087735,93.62468765
124,0,0,0,0,93.66082328,93.25521779,94.80631164,94.2587269
125,0,0,0,0,94.446264,93.94285662,95.63029026,95.01547015
