time,corrective_fix,preventive_fix,local_fix,fed_fix,corrective_profit,preventive_profit,local_profit,fed_profit
0,0,0,0,0,0.85092184,0.634171712,0.748589621,0.693946436
1,0,0,0,0,1.590327065,1.383390617,1.423092593,1.490048639
2,0,0,0,0,2.459553733,2.073471188,2.224571761,2.311571682
3,0,0,0,0,3.162827581,2.907578282,3.102440466,3.18033529
4,0,0,0,0,3.972581245,3.665333579,3.903076519,3.837457385
5,0,0,0,0,4.839702546,4.542786423,4.651076265,4.49973814
6,0,0,0,0,5.702234368,5.318300703,5.528205136,5.231088241
7,0,0,0,0,6.428144729,6.075738991,6.173097093,6.099344575
8,0,0,0,0,7.276644449,6.782454063,6.934376625,6.950269627
9,0,0,0,0,8.031475408,7.437821471,7.761486586,7.679535989
10,0,0,0,0,8.818543538,8.13628862,8.508894565,8.368978066
11,0,0,0,0,9.678149763,8.776751199,9.387658708,9.043539633
12,0,0,0,0,10.51016884,9.424238152,10.20279957,9.743938186
13,0,0,0,0,11.30723399,10.08409573,10.89816291,10.37816977
14,0,0,0,0,12.11752886,10.82090934,11.64370186,11.04919085
15,0,0,0,0,12.92264378,11.46388578,12.402949,11.90054295
16,0,0,0,0,13.7028883,12.25771485,13.09851676,12.59017341
17,0,0,0,0,14.35345366,13.01466806,13.76050028,13.43174839
18,0,0,0,0,15.20590764,13.75001279,14.55330409,14.30618283
19,0,0,0,0,16.02031566,14.4736222,15.28395791,15.11930626
20,0,0,0,0,16.78760823,15.11351476,16.13192579,15.94054069
21,0,0,0,0,17.57726234,15.78276438,16.90146817,16.68566831
22,0,0,0,0,18.26699133,16.51574447,17.72778785,17.379104
23,0,0,0,0,19.103112,17.20905657,18.45889123,18.03855951
24,0,0,0,0,19.84303019,17.89799746,19.13524167,18.71627983
25,0,0,0,0,20.52024247,18.60455472,19.83892399,19.35574165
26,0,0,0,0,21.15570521,19.409335,20.62232771,20.06162789
27,0,0,0,0,21.86445054,20.08513948,21.29192581,20.84378068
28,0,0,0,0,22.69664408,20.7682703,22.01730413,21.56896002
