Ffuel,Fs
3007.577254,16.71734263
3019.959449,16.70447675
3033.5286,16.7112739
3041.573285,16.76622979
3087.855529,16.73290545
3076.793753,16.77449955
3053.546483,16.75719258
3069.497015,16.68073121
3127.251303,16.76080627
3082.313346,16.74116102
3154.526862,16.78924588
3126.945653,16.82830743
3126.840387,16.79044296
3151.395451,16.79758293
3168.444472,16.77085219
3173.57376,16.77981079
3222.525596,16.85095317
3217.312543,16.79364804
3239.390358,16.81665365
3307.811738,16.86682635
3303.768843,16.82298018
3255.650319,16.81971843
3368.884341,16.91638739
3330.831589,16.93141632
3370.951277,16.93249695
3361.772834,16.93959957
3388.87161,16.91393573
3410.817148,16.98954337
3401.910837,16.91839063
3492.301018,17.01933301
3421.819058,16.94024775
3440.673864,16.94073359
3472.158258,16.90420671
3428.906296,16.93749495
3475.025324,16.94621097
3493.514442,16.95203642
3570.877731,17.00753566
3555.017957,17.02148241
3529.960116,16.99008014
3568.039498,16.98796128
3644.664254,17.08530959
3586.738252,17.0261594
3616.946988,16.98910574
3672.213793,17.07625333
3650.176179,17.0473027
3633.469516,17.09737587
3665.199008,17.123325
3704.380892,17.08017987
3699.730842,17.03518599
3769.316315,17.1014617
3813.895783,17.15712574
3811.26091,17.11531358
3853.156439,17.12373026
3859.222579,17.17504751
3872.97654,17.14782155
3799.161933,17.10447124
3852.967631,17.09575647
3899.469298,17.23802193
3896.720886,17.1789534
3875.620062,17.19169009
3928.870413,17.17666118
3888.552433,17.20673232
3949.957426,17.20251025
3896.727006,17.23170019
3995.487525,17.22038223
3967.500541,17.31087967
4102.019133,17.30993057
3977.27518,17.27462765
4075.47261,17.28193836
4017.868505,17.26603688
4058.539678,17.32643024
4093.21767,17.28249062
4050.715934,17.30133233
4066.670772,17.33037983
4095.728545,17.31033916
4124.554298,17.32262243
4223.672909,17.35836175
4148.45983,17.35830744
4132.947411,17.28786389
4164.549656,17.33775481
4175.464359,17.38748516
4223.106795,17.3083528
4229.523569,17.35488351
4172.777874,17.33751629
4216.961009,17.36555286
4305.840043,17.42064205
4242.718756,17.41914082
4287.110978,17.36753125
4387.16984,17.45810357
4372.686742,17.45745715
4353.605783,17.42909517
4383.878249,17.48811593
4425.05354,17.52118055
4395.346437,17.51068063
4483.937945,17.51058577
4487.674734,17.54766945
4458.171522,17.50467981
4488.322243,17.55547247
4471.233157,17.49911748
4518.553283,17.55475564
4489.063303,17.51675089
4577.307307,17.5561235
4513.381035,17.53982919
4475.792008,17.54553642
4480.51738,17.50569624
4534.319686,17.57460854
4581.94265,17.56356427
4515.857815,17.57584285
4555.058557,17.59270547
4543.439942,17.60387062
4619.518393,17.65010417
4593.299905,17.62349469
4590.802071,17.61221432
4600.712782,17.57459354
4726.864818,17.63494795
4724.334404,17.62341658
4718.275675,17.73297172
4692.803358,17.63948513
4759.102474,17.66507126
4729.190053,17.70779663
4749.870439,17.65509089
4740.169247,17.67341215
4745.15313,17.70593803
4764.14184,17.64567641
4904.19751,17.8081892
4957.164437,17.81402697
4872.252255,17.73617686
4991.152742,17.80397478
4935.677441,17.75806638
5067.164746,17.82261394
5080.185988,17.87540603
5059.667925,17.86118589
5026.266327,17.90762862
5024.000571,17.85142434
5074.753391,17.9299734
5034.195988,17.83745255
5077.819589,17.84243999
5081.006665,17.82618536
5103.707871,17.85312909
5141.624058,17.82903699
5094.364851,17.94111928
5209.594352,17.90664491
5274.0513,17.91557904
5272.596932,17.94874332
5161.939956,17.95240497
5282.944116,17.93924351
5362.180924,17.946416
5320.022575,17.96138892
5349.551899,18.00308626
5314.105104,18.04793644
5265.579095,17.93027791
5322.320701,18.04654656
5326.032806,17.93789329
5492.66782,18.01608924
5400.184044,18.00118119
5406.479049,18.07165925
5375.722826,18.00573754
5480.809499,18.05992194
5461.068086,18.11467561
5500.752942,18.0803739
5388.107244,18.06364605
5495.554408,18.05651114
5526.798258,18.10223077
5498.754545,18.08630984
5555.625156,18.07776383
5615.732676,18.14095181
5556.597528,18.09407369
5552.95434,18.10865733
5653.623564,18.15039658
5590.848821,18.15713242
5625.423841,18.09666441
5609.697591,18.08718992
5626.140531,18.1626863
5607.790555,18.08608681
5601.841417,18.16580036
5625.816803,18.14185284
5563.404512,18.13830776
5629.39531,18.20754787
5704.338166,18.24076327
5696.565731,18.17683865
5757.229476,18.16288332
5712.84303,18.25579767
5807.565439,18.29149243
5771.272198,18.2543445
5832.77759,18.20975896
5825.334639,18.31429208
5903.92819,18.3018659
5827.196831,18.30162718
5802.720162,18.24296457
5865.105959,18.3520652
5886.326041,18.29872133
5879.154129,18.2876504
5892.044333,18.30965055
5931.274746,18.3254895
5995.274901,18.35781018
5907.198922,18.35189404
5852.253059,18.3760767
5933.329404,18.31620034
6006.084158,18.36876072
