time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
1,49.2,78.2,55.3,1.7232,110.5,0.728,176.1
2,49.2,79,55.4,1.7408,114.3,0.731,176.3
3,49.3,79.4,55.4,1.7028,116.3,0.731,176.4
4,49.2,79,55.4,1.705470347,113.8,0.732,176.4
5,49.2,78.2,55.3,1.710303713,112.1,0.731,176.3
6,49.1,77.2,55.2,1.724738116,111,0.729,176.2
7,49,76.5,55.1,1.709573591,110.1,0.727,176.1
8,49,75.8,55,1.682410169,109.5,0.724,175.9
9,49,75.3,55,1.665647884,109.2,0.721,175.8
10,48.9,75.1,55,1.542086773,109.2,0.718,175.6
11,49,75,55,1.490926872,109.4,0.715,175.5
12,48.9,75.1,54.9,1.797368217,109.2,0.71048914,175.5
13,49,75.1,55,1.714610848,108.4,0.71050459,175.5
14,49,75.2,55,1.688254804,108.1,0.710520527,175.3
15,49.1,75.4,55.1,1.653100126,108,0.710536967,175.2
16,49.2,75.8,55.1,1.627546857,107.8,0.712553925,175.2
17,49.2,76.2,55.1,1.543195041,107.8,0.715571417,175.2
18,49.2,76.4,55.1,1.717244721,108.1,0.715589461,175.4
19,49.2,76.6,55.2,1.638095945,107.5,0.715608073,175.5
20,49.2,76.8,55.2,1.643748759,107.5,0.718627271,175.7
21,49.3,77.2,55.2,1.652203214,107.8,0.722647075,175.9
22,49.3,77.6,55.2,1.65225936,108.5,0.726667502,176
23,49.4,78,55.4,1.668317248,109.5,0.730688572,176.3
24,49.4,78.1,55.4,1.701176934,111.3,0.735710306,176.4
25,49.4,78.1,55.5,1.707638472,112.1,0.737732724,176.6
26,49.4,78,55.4,1.707701919,112.7,0.737755848,176.7
27,49.3,77.8,55.4,1.713767334,113.3,0.736779699,176.7
28,49.3,77.5,55.3,1.705434778,113.3,0.736804301,176.6
29,49.2,77.2,55.3,1.673904314,113.2,0.735829677,176.5
30,49.2,76.9,55.2,1.650776005,112.3,0.734855851,176.5
31,49.1,76.5,55.2,1.638849918,111.6,0.734882849,176.3
32,49.1,76.2,55.2,1.615326122,110.7,0.731910695,176.3
33,49.1,75.7,55.1,1.604204686,109.8,0.728939417,176.4369135
34,49.1,75.4,55.1,1.548685684,108.9,0.726969041,176.3413941
35,49,75.1,55,1.478369189,108.3,0.724999597,176.346021
36,49,75,54.9,1.62925528,107.1,0.723031112,176.350799
37,49,75,55,1.627744035,105.8,0.722063617,176.3557331
38,49,75.2,55,1.629435536,105.4,0.721097144,176.3608282
39,49,75.5,55,1.612329868,105.2,0.722131722,176.4660896
40,49.1,76,55.1,1.685627116,105.8,0.722167386,176.5715227
41,49.1,76.5,55.1,1.67292737,106.1,0.723204169,176.6771331
42,49.2,77.2,55.2,1.672630722,106.9,0.727242107,176.7829266
43,49.3,78.1,55.2,1.672737267,108.1,0.734281234,176.9889091
44,49.4,78.9,55.4,1.672847102,110.1,0.741321587,177.2950866
45,49.4,79.2,55.4,1.684560328,111.7,0.744363206,177.6014656
46,49.4,79.3,55.4,1.702677048,112.9,0.746406129,177.8080526
47,49.3,79,55.4,1.711997369,113.8,0.749450396,177.9148543
48,49.3,78.7,55.4,1.7337214,114.4,0.75049605,177.9218777
49,49.2,78.1,55.4,1.751049254,114.7,0.750543133,177.92913
50,49.1,77.5,55.3,1.746781048,114.5,0.747591689,177.7366184
51,49,76.7,55.1,1.649716901,114.1,0.743641765,177.5443508
52,48.9,75.8,54.9,1.483056937,113.4,0.735693407,177.252335
53,48.7,75.1,54.7,1.612401281,112.9,0.722746663,177.0605792
54,48.6,74.3,54.5,1.814950066,110.2,0.712801583,176.6690916
55,48.5,73.7,54.5,1.685103425,107.2,0.706858219,176.1778811
56,48.6,73.4,54.5,1.638061496,104.3,0.704916623,175.6869565
57,48.7,73.8,54.7,1.677024423,104.3,0.70397685,175.396327
58,48.8,74.7,54.8,1.681592351,105.1,0.708038956,175.3060023
59,49,76.2,55,1.680565431,106.4,0.713102999,175.415992
60,49.2,77.8,55.2,1.685543819,108.7,0.717169038,175.7263064
61,49.4,79.5,55.5,1.695727674,110.6,0.722237135,176.1369559
62,49.6,81.1,55.7,1.74231716,112.5,0.729307352,176.8479512
63,49.7,82.4,55.9,1.687312447,114.2,0.738379755,177.6593035
64,49.8,83.4,56,1.662313708,115.5,0.74945441,178.3710243
65,49.94475847,84,56.1,1.696921123,117.2,0.756531386,179.1831254
66,49.94630835,84,56.1,1.701134874,117.8,0.760610754,179.895619
67,49.84791176,83.6,56,1.583355152,117.8,0.763692586,180.4085176
68,49.64957055,82.8,55.8,1.667182151,117.2,0.763776959,180.6218343
69,49.55128662,81.5,55.6,1.63701607,115.9,0.760863949,180.6355824
70,49.25306194,80,55.45194629,1.644457116,114.4,0.754953635,180.3497758
71,49.05489853,78.4,55.05376154,1.6975055,112.6,0.7450461,180.0644287
72,48.85679851,76.8,54.85564005,1.722161439,106.4,0.736141428,179.4795557
73,48.65876404,75,54.65758403,1.746825157,101.1076731,0.733239704,178.795172
